Backbone,Model,Batch Size,Mem (GiB),GPUs,Thr mu,Thr std
Ti,Vanilla,2,0.708984,1,23.25,1.998
Ti,Vanilla,4,0.808594,1,43.12,3.001
Ti,FastBP,4,1.109375,1,43.08,2.567
Ti,FastBP,2,0.832031,1,21.60,1.411
Ti,FastBP,8,1.462891,1,79.80,2.119
Ti,Vanilla,8,0.974609,1,79.78,2.994
Ti,FastBP,16,2.314453,1,94.69,3.458
S,Vanilla,2,1.119141,1,13.43,0.677
S,FastBP,4,1.560547,1,25.86,1.730
S,Vanilla,4,1.236328,1,27.09,1.209
B,FastBP,2,2.134766,1,13.29,1.131
Ti,Vanilla,16,1.398438,1,95.88,4.324
S,FastBP,8,1.921875,1,43.17,4.162
B,Vanilla,2,1.974609,1,13.02,1.033
S,Vanilla,8,1.437500,1,39.65,2.573
B,Vanilla,4,2.085938,1,25.84,2.288
S,FastBP,2,1.255859,1,11.59,1.348
B,FastBP,4,2.576172,1,24.41,1.731
S,FastBP,16,2.781250,1,60.09,2.477
S,Vanilla,16,1.830078,1,59.89,1.401
B,FastBP,8,3.037109,1,36.29,2.790
Ti,Vanilla,32,2.119141,1,112.50,1.871
Ti,FastBP,32,4.357422,1,115.37,2.129
S,Vanilla,32,2.599609,1,67.49,2.344
S,FastBP,32,4.876953,1,68.06,2.261
Ti,FastBP,64,8.351562,1,124.33,1.853
Ti,Vanilla,64,3.777344,1,119.16,1.792
B,Vanilla,8,2.351562,1,38.32,0.164
L,FastBP,2,4.664062,1,11.21,0.829
L,Vanilla,2,4.232422,1,11.76,0.258
L,FastBP,4,4.890625,1,17.44,0.222
L,Vanilla,4,4.425781,1,17.24,0.114
B,FastBP,16,4.199219,1,45.30,0.745
B,Vanilla,16,2.851562,1,44.18,1.499
S,FastBP,64,8.751953,1,75.57,0.680
L,FastBP,8,5.839844,1,21.86,0.206
S,Vanilla,64,4.078125,1,72.23,0.975
L,Vanilla,8,4.794922,1,20.82,0.710
Ti,Vanilla,128,7.021484,1,125.34,0.672
B,FastBP,32,6.955078,1,49.71,0.811
B,Vanilla,32,3.822266,1,48.10,0.213
L,Vanilla,16,5.583984,1,24.64,0.095
L,FastBP,16,7.884766,1,24.89,0.309
Ti,FastBP,128,9.730469,1,109.78,1.984
B,Vanilla,64,6.001953,1,50.12,0.065
B,FastBP,64,9.683594,1,49.36,2.016
L,Vanilla,32,7.035156,1,26.13,0.059
S,Vanilla,128,7.201172,1,74.55,0.354
L,FastBP,32,9.726562,1,25.45,0.602
S,FastBP,128,9.705078,1,64.68,1.214
B,Vanilla,128,9.720703,1,51.65,0.083
Ti,FastBP,96,9.671875,1,115.55,8.804
Ti,FastBP,80,9.513672,1,125.22,0.294
B,FastBP,48,9.466797,1,51.83,0.263
L,FastBP,24,9.609375,1,25.99,0.243
L,FastBP,26,9.685547,1,26.24,0.238
L,Vanilla,40,7.783203,1,26.41,0.043
L,Vanilla,64,9.566406,1,27.08,0.023
Ti,Vanilla,160,8.263672,1,123.72,0.498
H,FastBP,4,5.052734,1,26.58,1.435
H,Vanilla,4,4.490234,1,24.21,1.311
L,FastBP,128,34.871094,1,102.01,0.294
