Backbone,Model,Batch Size,Mem (GiB),GPUs,Thr mu,Thr std
Ti,FastBP,2,0.659344,1,21.42,3.055
Ti,Vanilla,2,0.643474,1,22.83,2.966
Ti,FastBP,4,0.738899,1,46.42,5.162
Ti,Vanilla,4,0.715070,1,47.06,4.744
S,FastBP,2,1.061219,1,13.66,0.897
Ti,FastBP,8,0.903433,1,76.85,9.424
Ti,Vanilla,8,0.856041,1,89.37,11.259
S,FastBP,4,1.143001,1,26.69,3.625
S,Vanilla,2,1.046090,1,13.58,0.818
Ti,FastBP,16,1.231914,1,141.07,9.615
Ti,Vanilla,16,1.123844,1,154.76,11.971
S,FastBP,8,1.307486,1,49.89,3.531
Ti,FastBP,32,1.888141,1,208.89,15.190
S,Vanilla,4,1.114491,1,24.34,1.955
Ti,Vanilla,32,1.674653,1,215.17,14.587
B,FastBP,2,1.828549,1,11.62,0.995
S,FastBP,16,1.638178,1,88.65,8.568
B,Vanilla,2,1.803789,1,13.00,1.354
S,Vanilla,8,1.263718,1,47.26,5.649
Ti,FastBP,64,3.206169,1,263.03,7.867
B,FastBP,4,1.935799,1,21.79,2.329
Ti,Vanilla,64,2.771140,1,252.63,12.930
B,Vanilla,4,1.900679,1,26.24,1.454
S,FastBP,32,2.287352,1,139.60,6.553
L,FastBP,2,3.963440,1,11.53,0.880
S,Vanilla,16,1.527173,1,87.07,8.176
B,FastBP,8,2.150189,1,44.07,3.795
L,Vanilla,2,3.937059,1,10.47,1.007
B,Vanilla,8,2.095159,1,57.93,1.655
Ti,FastBP,128,5.842510,1,289.11,5.630
L,FastBP,4,4.127993,1,23.62,2.471
S,Vanilla,32,2.077377,1,144.36,4.777
Ti,Vanilla,128,4.971590,1,277.62,5.350
S,FastBP,64,3.605656,1,178.22,4.696
B,FastBP,16,2.593143,1,80.64,4.684
L,Vanilla,4,4.079397,1,20.43,3.331
B,Vanilla,16,2.442712,1,83.91,4.803
L,FastBP,8,4.456299,1,40.42,3.935
S,Vanilla,64,3.171024,1,171.89,1.451
L,Vanilla,8,4.348952,1,43.89,3.958
B,FastBP,32,3.470524,1,121.14,3.946
B,Vanilla,32,3.172842,1,117.65,3.196
L,FastBP,16,5.114474,1,66.67,5.757
S,FastBP,128,6.240162,1,195.21,3.813
Ti,FastBP,256,11.087584,1,303.42,4.333
L,Vanilla,16,4.899149,1,71.62,2.638
Ti,Vanilla,256,9.358272,1,289.81,3.865
B,FastBP,64,5.193374,1,141.52,2.431
B,Vanilla,64,4.620179,1,136.82,1.966
L,FastBP,32,6.422249,1,87.57,1.875
S,Vanilla,128,5.369363,1,184.59,1.946
L,Vanilla,32,5.991909,1,84.51,1.361
B,FastBP,128,8.690425,1,153.87,0.628
L,FastBP,64,9.027597,1,96.90,1.117
S,FastBP,256,11.485293,1,204.76,2.237
B,Vanilla,128,7.538503,1,147.10,1.400
L,Vanilla,64,8.161409,1,92.99,2.040
Ti,FastBP,512,21.603927,1,307.53,4.057
S,Vanilla,256,9.757705,1,194.01,1.602
Ti,Vanilla,512,18.146453,1,293.35,3.033
L,FastBP,128,14.236778,1,102.04,0.601
L,Vanilla,128,12.511283,1,98.10,0.451
B,FastBP,256,15.669247,1,159.62,0.613
B,Vanilla,256,13.369238,1,152.80,0.792
S,FastBP,512,22.001308,1,206.96,1.338
S,Vanilla,512,18.545349,1,197.51,0.962
L,FastBP,256,24.662908,1,103.72,0.434
L,Vanilla,256,21.208798,1,99.78,0.450
Ti,Vanilla,1024,35.722739,1,296.97,2.952
B,FastBP,512,29.636738,1,160.25,0.772
B,Vanilla,512,25.030821,1,155.22,0.625
Ti,FastBP,1024,42.638064,1,183.58,14.936
S,Vanilla,1024,36.121208,1,200.19,1.118
S,FastBP,1024,43.035572,1,149.55,5.673
H,FastBP,2,12.990941,1,9.91,0.361
H,Vanilla,2,12.987626,1,9.25,0.198
H,FastBP,4,13.213971,1,19.42,0.806
H,Vanilla,4,13.123982,1,19.43,0.886
G,FastBP,2,49.855975,1,4.01,0.246
G,Vanilla,2,49.844256,1,4.02,0.193
H,FastBP,8,13.794497,1,31.16,0.443
H,Vanilla,8,13.596272,1,30.36,0.528
H,FastBP,16,14.957018,1,39.59,0.364
H,Vanilla,16,14.559505,1,38.09,0.155
G,FastBP,4,49.963406,1,6.94,0.051
G,Vanilla,4,49.870914,1,6.70,0.059
H,FastBP,32,17.287590,1,44.94,0.265
H,Vanilla,32,16.495202,1,43.43,0.169
G,FastBP,8,50.838553,1,9.91,0.022
G,Vanilla,8,50.559207,1,9.71,0.037
H,FastBP,64,21.940584,1,50.54,0.182
H,Vanilla,64,20.353627,1,46.82,0.098
G,FastBP,16,52.556138,1,12.13,0.047
G,Vanilla,16,51.983433,1,11.88,0.015
H,FastBP,128,31.262425,1,49.78,0.119
H,Vanilla,128,28.079201,1,48.62,0.063
G,FastBP,32,56.056157,1,16.15,0.536
G,Vanilla,32,54.911862,1,13.53,0.028
H,Vanilla,256,43.534645,1,49.40,0.078
G,Vanilla,64,60.645499,1,14.43,0.020
G,FastBP,64,62.940534,1,11.67,0.907
H,FastBP,256,49.869539,1,35.13,1.556
G,FastBP,48,59.477701,1,15.16,0.021
G,Vanilla,48,57.763984,1,14.15,0.016
