Backbone,Model,Batch Size,Mem (GiB),GPUs,Thr mu,Thr std
Ti,FastBP,2,0.832031,1,25.33,3.155
Ti,FastBP,4,1.113281,1,49.28,4.123
Ti,Vanilla,2,0.708984,1,24.97,2.349
Ti,FastBP,256,31.757812,1,308.35,2.485
S,FastBP,2,1.255859,1,14.95,1.450
S,FastBP,4,1.564453,1,26.73,1.789
B,FastBP,2,2.134766,1,13.58,0.892
Ti,FastBP,512,63.095703,1,310.04,2.411
B,FastBP,4,2.537109,1,27.86,1.561
B,FastBP,8,3.261719,1,46.88,2.271
B,FastBP,16,4.439453,1,85.97,4.153
Ti,Vanilla,4,0.812500,1,43.19,4.571
S,FastBP,2,1.255859,1,12.41,0.893
B,FastBP,32,6.666016,1,120.54,4.840
Ti,Vanilla,8,1.048828,1,80.45,9.106
B,Vanilla,2,1.974609,1,13.51,0.925
S,Vanilla,512,25.804688,1,197.51,1.018
S,FastBP,4,1.564453,1,26.67,2.020
Ti,Vanilla,16,1.433594,1,136.00,11.480
B,Vanilla,4,2.066406,1,25.53,2.139
S,FastBP,8,2.050781,1,46.97,3.980
B,FastBP,64,11.091797,1,142.17,1.837
Ti,Vanilla,32,2.134766,1,211.42,12.345
B,Vanilla,8,2.414062,1,53.53,2.448
S,FastBP,16,2.976562,1,86.81,6.371
Ti,Vanilla,64,4.039062,1,257.11,6.392
B,Vanilla,16,2.929688,1,87.79,4.057
S,FastBP,32,4.882812,1,141.18,5.828
L,FastBP,2,4.667969,1,12.63,0.753
B,Vanilla,32,3.751953,1,120.00,3.582
B,FastBP,128,20.531250,1,154.14,1.260
Ti,Vanilla,128,7.021484,1,279.36,3.628
S,FastBP,64,8.410156,1,174.76,5.992
L,FastBP,4,5.175781,1,22.43,2.592
L,Vanilla,2,4.234375,1,12.16,1.374
B,Vanilla,64,5.974609,1,136.94,1.991
L,FastBP,8,6.105469,1,41.04,4.514
L,Vanilla,4,4.451172,1,22.60,1.993
S,FastBP,128,16.578125,1,194.77,2.781
L,FastBP,16,7.904297,1,72.03,2.463
Ti,Vanilla,256,13.277344,1,291.62,2.032
L,Vanilla,8,4.833984,1,46.15,3.127
B,Vanilla,128,10.464844,1,146.50,1.261
B,FastBP,256,41.607422,1,159.06,1.112
L,Vanilla,16,5.544922,1,71.25,1.649
L,FastBP,32,10.943359,1,86.34,1.700
Ti,FastBP,1024,77.578125,1,198.01,3.419
L,Vanilla,32,7.072266,1,85.44,1.254
S,FastBP,256,32.232422,1,205.15,1.916
L,FastBP,64,19.169922,1,96.93,1.003
Ti,Vanilla,512,26.191406,1,295.73,1.372
L,Vanilla,64,9.867188,1,93.50,0.917
B,Vanilla,256,19.619141,1,152.68,0.701
S,Vanilla,1024,52.466797,1,200.34,1.173
L,FastBP,128,34.871094,1,101.77,0.657
L,Vanilla,128,16.625000,1,97.86,0.483
S,FastBP,512,58.076172,1,206.41,1.831
B,FastBP,512,77.427734,1,160.43,0.805
Ti,Vanilla,1024,51.820312,1,295.92,2.700
B,Vanilla,512,35.917969,1,155.58,0.583
S,FastBP,1024,77.599609,1,148.50,4.708
Ti,FastBP,8,1.591797,1,89.23,9.358
Ti,FastBP,16,2.507812,1,135.00,6.761
Ti,FastBP,32,4.439453,1,218.52,17.055
Ti,FastBP,64,8.009766,1,260.35,9.171
Ti,FastBP,128,16.164062,1,293.63,3.346
S,Vanilla,2,1.119141,1,14.75,1.142
S,Vanilla,4,1.240234,1,28.39,1.275
S,Vanilla,8,1.474609,1,55.79,3.327
S,Vanilla,16,1.861328,1,90.19,4.778
S,Vanilla,32,2.539062,1,145.02,4.432
S,Vanilla,64,4.318359,1,172.06,1.401
S,Vanilla,128,7.201172,1,186.55,1.339
L,FastBP,256,63.414062,1,103.95,0.339
L,Vanilla,256,30.818359,1,100.19,0.229
Ti,Vanilla,1536,77.580078,1,298.99,0.263
S,Vanilla,256,14.095703,1,195.37,1.167
L,Vanilla,512,57.974609,1,100.78,0.207
