Backbone,Model,Batch Size,Mem (GiB),GPUs,Thr mu,Thr std
H,FastBP,2,12.990941,1,9.91,0.361
H,Vanilla,2,12.987626,1,9.25,0.198
H,FastBP,4,13.213971,1,19.42,0.806
H,Vanilla,4,13.123982,1,19.43,0.886
G,FastBP,2,49.855975,1,4.01,0.246
G,Vanilla,2,49.844256,1,4.02,0.193
H,FastBP,8,13.794497,1,31.16,0.443
H,Vanilla,8,13.596272,1,30.36,0.528
H,FastBP,16,14.957018,1,39.59,0.364
H,Vanilla,16,14.559505,1,38.09,0.155
G,FastBP,4,49.963406,1,6.94,0.051
G,Vanilla,4,49.870914,1,6.70,0.059
H,FastBP,32,17.287590,1,44.94,0.265
H,Vanilla,32,16.495202,1,43.43,0.169
G,FastBP,8,50.838553,1,9.91,0.022
G,Vanilla,8,50.559207,1,9.71,0.037
H,FastBP,64,21.940584,1,50.54,0.182
H,Vanilla,64,20.353627,1,46.82,0.098
G,FastBP,16,52.556138,1,12.13,0.047
G,Vanilla,16,51.983433,1,11.88,0.015
H,FastBP,128,31.262425,1,49.78,0.119
H,Vanilla,128,28.079201,1,48.62,0.063
G,FastBP,32,56.056157,1,16.15,0.536
G,Vanilla,32,54.911862,1,13.53,0.028
H,Vanilla,256,43.534645,1,49.40,0.078
G,Vanilla,64,60.645499,1,14.43,0.020
G,FastBP,64,62.940534,1,11.67,0.907
H,FastBP,256,49.869539,1,35.13,1.556
G,FastBP,48,59.477701,1,15.16,0.021
G,Vanilla,48,57.763984,1,14.15,0.016
